Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",140 min,2023,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",8.9,"205,631",95%,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",tt9362722,movie,PG,2-Jun-23,"Phil Lord, Christopher Miller, Dave Callaham",United States,3 wins & 1 nomination,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...",no,yes,
The Good Guys,"Action, Comedy",60 min,2010,N/A,8.1,"7,494",N/A,"Bradley Whitford, Colin Hanks, Jenny Wade",tt1567254,series,TV-14,19-May-10,Matt Nix,United States,2 nominations,"Jack is a by-the-book detective whose habit of undermining himself has resulted in a dead-end position with the Police Dept. His partner Dan, a drunken, lecherous veteran hangs onto his job only because of one heroic act years ago.",no,yes,
Se7en,"Crime, Drama, Mystery",127 min,1995,David Fincher,8.6,"1,717,328",83%,"Morgan Freeman, Brad Pitt, Kevin Spacey",tt0114369,movie,R,22-Sep-95,Andrew Kevin Walker,United States,Nominated for 1 Oscar. 29 wins & 43 nominations total,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",no,yes,
Seven Samurai,"Action, Drama",207 min,1954,Akira Kurosawa,8.6,"355,893",100%,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",tt0047478,movie,Not Rated,19-Nov-56,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",Japan,Nominated for 2 Oscars. 5 wins & 9 nominations total,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",no,yes,
Life Is Beautiful,"Comedy, Drama, Romance",116 min,1997,Roberto Benigni,8.6,"716,570",80%,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",tt0118799,movie,PG-13,20-Dec-97,"Vincenzo Cerami, Roberto Benigni",Italy,Won 3 Oscars. 72 wins & 52 nominations total,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",no,yes,
Oppenheimer,"Biography, Drama, History",180 min,2023,Christopher Nolan,8.7,"252,355",94%,"Cillian Murphy, Emily Blunt, Matt Damon",tt15398776,movie,R,21-Jul-23,"Christopher Nolan, Kai Bird, Martin Sherwin","United States, United Kingdom",1 win & 1 nomination,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",no,yes,
Psycho,"Horror, Mystery, Thriller",109 min,1960,Alfred Hitchcock,8.5,"694,341",96%,"Anthony Perkins, Janet Leigh, Vera Miles",tt0054215,movie,R,8-Sep-60,"Joseph Stefano, Robert Bloch",United States,Nominated for 4 Oscars. 7 wins & 14 nominations total,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",no,yes,
American History X,"Crime, Drama",119 min,1998,Tony Kaye,8.5,"1,151,360",84%,"Edward Norton, Edward Furlong, Beverly D'Angelo",tt0120586,movie,R,20-Nov-98,David McKenna,United States,Nominated for 1 Oscar. 4 wins & 15 nominations total,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",no,yes,
Casablanca,"Drama, Romance, War",102 min,1942,Michael Curtiz,8.5,"587,983",99%,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",tt0034583,movie,PG,23-Jan-43,"Julius J. Epstein, Philip G. Epstein, Howard Koch",United States,Won 3 Oscars. 13 wins & 9 nominations total,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,no,yes,
Harakiri,"Action, Drama, Mystery",133 min,1962,Masaki Kobayashi,8.6,"62,767",100%,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita",tt0056058,movie,Not Rated,4-Aug-64,"Yasuhiko Takiguchi, Shinobu Hashimoto",Japan,9 wins & 3 nominations,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",no,yes,
